,pcr2,estA,algQ,pvdN,phzE1,FabG,flhB,glyA-1,pvdD,xcpS,exsD,plcH,flhA,galU,fliF,exsB,pilF,hsiJ1,OccD4/OpdT,mucB,pbpB,flgN,"folA, Dfr",hcp1,rpsL,MdtABC-TolC,pchB,nuoD,fur,PA14_33610,TolC/OpmH,pscE,pgm,acpP,flgI,S12p,sulI,pvdQ,aprA,phzC1,PA5327,PA14_03530,wzz,mexE,TriC,PA0151,hsiB1/vipA,mexK,xcpQ,motA,pvdA,fliN,flgB,lip1,pscC,mexB,MdtABC-OMF,pvdJ,MexXY-OMP,PA4488,pscJ,lasR,flgJ,EF-Tu,lecB,Alr,mucA,PA14_37650,gyrB,PDC family,HtdX,pcr4,phzF1,clpV1,pscS,mucP,PA14_03120,pilG,GdpD,fadA,xcpV,MexAB-OprM,rhlA,fpr,PgsA,flgH,mexA,metE,rpsJ,flgA,PA3001,phzA1,OprF,katA,pchG,OXA-50,pilH,rhlB,parE,PA1009,MexCD-OprJ,def,mrcA,pvdI,pbpG,nalD,fleS,pyrF,exaA,oprJ,PmrA,pscL,CatB family,purL,PA0082,exsE,EF-G,motY,PA5437,FosA,Ddl,pvcA,pscI,lasB,pcrH,lpd,PA3498,mexV,mexW,PA2895,chpC,fliR,phoP,fleN,rpsS,mvfR,PA0041,OprB,popB,tagR,algD,pilE,PA4887,MexVW-OprM,waaC,waaP,PA1157,OccK5/OpdH,chpB,algE,fliO,PA14_41070,exoS,pchE,nqrB,pscF,hfq,PA3756,MexHI-OpmD,OccD7/OpdB,purH,exoT,fliQ,wbpX,PA0073,PA14_38610,htpG,PA4692,pvdS,OccD2/OpdC,azoR1,eta,fliG,pilQ,algW,Iso-tRNA,OccK8/OprE,algC,MexPQ-OpmE system,parC,pvdM,OccK2/OpdF,tagF/pppB,rpoC,algB,OccK7/OpdD,flgG,mexH,arnA,pcr3,icmF1/tssM1,flgE,tagQ,phzG,opmD,oprD,nirS,PA4115,MexCD-OprJ system,hsiG1,amiC,rpoB,ccpA,pilU,PA5441,pchR,S10p,MexPQ-OpmE,phzH,chpA,pchI,EmrAB-TolC,fleP,algJ,catB7,codA,PDC-3,algR,OccD3/OpdP,flgC,fptA,pvdH,OxyR,gyrA,waaA,arcA,mexI,pilR,phzB1,relA,MexEF-OprN,xcpX,alg8,pscK,pvcD,APH(3')-IIb,fabV,pscD,PA4564,OprB family,rhdA,xcpA/pilD,pilI,xcpP,waaG,rmlA,toxA,OpmH,phzD1,algK,algU,pchA,PDC-2,PA2972,opdK,pscT,pvdE,sdsA1,algX,rho,pcrV,exoY,oprN,PA3173,flgM,dsbA,PA14_35740,TriA,tse1,pvcC,gmd,exoU,fimT,gacA,OccD8/OpdJ,pepA,OXA-50 family,algA,pilM,lpxC,aprF,pscU,xcpZ,narK2,fliE,pscP,mucE,rph,fliM,PA3286,MexJK-OprM/OpmH,pilP,fleQ,icd,phzS,mucC,pchC,APH(6)-Ic/APH(6)-Id,modA,pchF,fliL,hsiA1,pcr1,mexQ,amrA,pscG,rhlC,pchH,xcpR,mdoG,ohr,pilB,fpvA,gmhA,phzG1,fliH,purD,ansB,PA14_04850,fliA,xcpW,pppA,CmlA family,pscO,pvdO,pscR,OccD6/OprQ,Tet(A),dxr,TriB,pcrR,pilD,OccK1/OpdK,gidB,pgk,OccD1/OprD,"inhA, fabI",algL,pscB,alg44,EmrAB-OMF,thrC,mexS,pscN,OccK10/OpdN,phzM,kasA,OccD5/OpdI,fliJ,vgrG1b,nalC,hsiF1,algP/algR3,ppkA,ptxR,rmlC,PA3826,dotU1,folP,mbtH-like,mexJ,pilN,PA5312,AAC(3)-I,dadX,mucD,fabF1,hemB,aadA6,hutU,MexHI-OpmD system,PmrB,algF,mexL,algI,flgF,OccK11/OpdR,pscH,glyA,astA,prpL,mexN,waaF,motD,pilJ,MacB,pcrD,OccK6/OpdQ,oprM,fadB,lasI,popD,mexM,fha1,xcpY,sul1,wspF,azu,mexP,PA14_37260,OccK9/OpdG,pilK,oprP,exsA,fliI,tse2,mexC,flhF,lasA,pcaG,OccK3/OpdO,phoQ,pilY2,pcaH,fleR,PA4489,TriABC-OpmH,argB,hsiE1,pobA,MacA,pilV,atsA,APH(3')-II/APH(3')-XV,chpD,pchD,PA0158,mexD,pilT,IMP family,MurA,xcpU,mexG,cca,tagS,pvdP,prpR,nfxB,amrB,OccK4/OpdL,pilX,fliC,VIM-4,VIM family,motC,PER-1,fimU,cat,xcpT,pvdL,flgL,pcrG,fliP,mexZ,pilS,tse3,hsiH1,pvcB,exsC,flgK,pilA,rhlI,flgD,tagT,vgrG1a,PA4491,mexR,fliK,opmE,ponB,mexF,floR,algG,pvdF,hsiC1/vipB,PDC-5,emrE,motB,fimV,pilC,pscQ,pilO,chpE,fliD,popN,VIM-2,QnrVC1,MexEF-OprN system,AAC(3)-Ic,pvdG,APH(3'')-Ib,pbpA,pilW,algZ,PDC-7,tetG,GES family,fleI/flag,Tet(G),wzy,tetC,APH(6)-Id,APH(3')-VIa,OXA-10,Cmx family,pilY1,OprM/OprM family,tufA,aphA1,PDC-1,fliS,FloR family,GES-1,OXA-1 family,APH(3'')-I,OprD family,PDC-9,aadA,oprA,phzF,LCR-1,bla,APH(3')-III/APH(3')-IV/APH(3')-VI/APH(3')-VII,AAC(6')-Ib/AAC(6')-II,PDC-10,APH(3')-Ia,prr,OXA-10 family,OXA-2 family,OXA-4,IMP-1,SHV-2A,PDC-8,GES-5,AAC(3)-Id,golS,AAC(6')-31,catB10,OXA-2,mdsB,aadA2,tauD,aadA13,VIM-1,APH(3')-I,qacH,GlpT,AAC(6')-Ib7,rmtF,rfbA,OXA-35,prpB,CARB/PSE family,dfrA16,aadA7,ribC,VEB family,IMP-31,VEB-1a,SHV family,AAC(6')-IIc,OXA-74,rplP,QacE,GES-9,ANT(2'')-Ia,LCR/NPS family,CARB-3,mgtB,AAC(6')-Ib9,OXA-161,PvrR,VIM-13,aadA8,APH(3')-VI,CatA1/CatA4 family,AAC(6')-29b,aadA25,per1,PER family,sul2,xylH,ssb,OXA-129,OXA-233,QnrB family,AAC(6')-IIa,PME family,OXA-47,aacC1,dgdA,ascV,"AAC(6')-Ic,f,g,h,j,k,l,r-z"
Pseudomonas aeruginosa strain ESP066.fasta,,,,,,1,,,,,,,,,,,,,1,,,,1,,,4,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,1,,3,,,,,2,,2,,,1,1,1,,,,,,,,2,,,3,,,1,,1,,,,,,1,,,1,,,1,,2,,,,,1,,,,1,1,,1,,,,2,,,1,2,,,,,,,1,1,,,,1,,,,,3,,,,,,2,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,1,1,,1,1,,1,,1,,1,,1,1,,,,,,1,1,,,1,,,1,,,,,1,2,,,,2,,,1,,,,1,,,,1,2,,,1,,,,2,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,2,1,,2,1,,,,1,,1,,1,,2,1,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,1,,1,1,,,,1,,,1,,,1,,1,,,,,,1,,,,1,1,,,,,3,,,,1,,,1,,,,1,,,1,,1,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa strain ESP067.fasta,,,,,,1,,,,,,,,,,,,,1,,,,1,,,4,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,1,,2,,,,,2,,2,,,1,1,1,,,,,,,,2,,,3,,,1,,1,,,,,,1,,,1,,,1,,2,,,,,1,,,,1,1,,1,,,,2,,,1,2,,,,,,,1,1,,,,1,,,,,5,,,,,,2,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,1,1,,1,1,,1,,1,,1,,1,1,,,,,,1,1,,,1,,,1,,,,,1,2,,,,2,,,1,,1,,1,,,,1,2,,,1,,,,2,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,,2,1,,,,1,,1,,1,,2,1,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,1,,1,1,,,,1,,,,,,1,,1,,,,,,1,,,,1,1,,,,,3,,,,1,,,1,,,,1,,,1,,1,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa strain ESP068.fasta,,,,,,1,,,,,,,,,,,,,1,,,,1,,,4,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,1,,2,,,,,2,,2,,,1,1,1,,,,,,,,2,,,3,,,1,,1,,,,,,1,,,1,,,1,,2,,,,,1,,,,1,1,,1,,,,2,,,1,2,,,,,,,1,1,,,,1,,,,,3,,,,,,2,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,1,1,,1,1,,1,,1,,2,,1,1,,,,,,1,2,,,1,,,1,,,,,1,2,,,,3,,,1,,,,1,,,,1,2,,,1,,,,2,,,,,1,1,,,1,,,,,,,,1,,,,,1,,,,,,,1,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,,2,1,,,,2,,1,,1,,2,1,,,1,,,,,,,,1,,1,,,,,,,,1,,1,1,,1,,,1,,,,,1,,,,1,,1,1,,,,1,,,1,,,1,,1,,,,,,1,,,,1,1,,,,,3,,,,1,,,1,,,,1,,,1,,1,,,,,1,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa strain ESP069.fasta,,,,,,1,,,,,,,,,,,,,1,,,,1,,,4,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,1,,2,,,,,2,,2,,,1,1,1,,,,,,,,2,,,3,,,1,,1,,,,,,1,,,1,,,1,,2,,,,,2,,,,1,1,,1,,,,2,,,1,2,,,,,,,1,1,,,,1,,,,,5,,,,,,2,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,1,1,,1,1,,1,,1,,1,,1,1,,,,,,1,1,,,1,,,1,,,,,1,2,,,,2,,,1,,,,1,,,,1,2,,,1,,,,2,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,,1,1,,,,1,,1,,1,,2,1,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,1,,1,1,,,,1,,,,,,1,,1,,,,,,1,,,,1,1,,,,,3,,,,1,,,1,,,,1,,,1,,1,,,,,1,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa strain ESP070.fasta,,,,,,1,,,,,,,,,,,,,1,,,,1,,,4,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,1,,2,,,,,2,,2,,,1,1,1,,,,,,,,2,,,3,,,1,,1,,,,,,1,,,1,,,1,,2,,,,,1,,,,1,1,,1,,,,2,,,1,2,,,,,,,1,1,,,,1,,,,,5,,,,,,2,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,1,1,,1,1,,1,,1,,1,,1,1,,,,,,1,2,,,1,,,1,,,,,1,2,,,,3,,,1,,,,1,,,,1,2,,,1,,,,2,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,,2,1,,,,2,,1,,1,,2,1,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,1,,1,1,,,,1,,,,,,1,,1,,,,,,1,,,,1,1,,,,,3,,,,1,,,1,,,,1,,,1,,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa strain ESP071.fasta,,,,,,1,,,,,,,,,,,,,1,,,,1,,,4,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,1,,3,,,,,2,,2,,,1,1,1,,,,,,,,2,,,3,,,1,,1,,,,,,1,,,,,,1,,2,,,,,1,,,,1,1,,1,,,,2,,,1,2,,,,,,,1,1,,,,1,,,,,3,,,,,,2,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,1,1,,1,1,,1,,1,,1,,1,1,,,,,,1,1,,,1,,,1,,,,,1,2,,,,2,,,1,,,,1,,,,1,2,,,1,,,,2,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,2,1,,2,1,,,,1,,1,,1,,2,1,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,1,,1,1,,,,1,,,1,,,1,,1,,,,,,1,,,,1,1,,,,,3,,,,1,,,1,,,,1,,,1,,1,,,,,1,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa strain ESP072.fasta,,,,,,1,,,,,,,,,,,,,1,,,,1,,,4,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,1,,2,,,,,2,,2,,,1,1,1,,,,,,,,2,,,3,,,1,,1,,,,,,1,,,1,,,1,,2,,,,,2,,,,1,1,,1,,,,2,,,1,2,,,,,,,1,1,,,,1,,,,,5,,,,,,2,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,1,1,,1,1,,1,,1,,1,,1,1,,,,,,1,2,,,1,,,1,,,,,1,2,,,,3,,,1,,1,,1,,,,1,2,,,1,,,,2,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,,2,1,,,,1,,1,,1,,2,1,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,1,,1,1,,,,1,,,,,,1,,1,,,,,,1,,,,1,1,,,,,3,,,,1,,,1,,,,1,,,1,,1,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa strain ESP073.fasta,,,,,,1,,,,,,,,,,,,,1,,,,1,,,4,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,1,,2,,,,,2,,2,,,1,1,1,,,,,,,,2,,,3,,,1,,1,,,,,,1,,,1,,,1,,2,,,,,1,,,,1,1,,1,,,,2,,,1,2,,,,,,,1,1,,,,1,,,,,5,,,,,,2,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,1,1,,1,1,,1,,1,,1,,1,1,,,,,,1,2,,,1,,,1,,,,,1,2,,,,3,,,1,,1,,1,,,,1,2,,,1,,,,2,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,,2,1,,,,1,,1,,1,,2,1,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,1,,1,1,,,,1,,,,,,1,,1,,,,,,1,,,,1,1,,,,,3,,,,1,,,1,,,,1,,,1,,1,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa strain ESP074.fasta,,,,,,1,,,,,,,,,,,,,1,,,,1,,,4,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,1,,2,,,,,2,,2,,,1,1,1,,,,,,,,2,,,3,,,1,,1,,,,,,1,,,1,,,1,,2,,,,,1,,,,1,1,,1,,,,2,,,1,2,,,,,,,1,1,,,,1,,,,,3,,,,,,2,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,1,1,,1,1,,1,,1,,1,,1,1,,,,,,1,1,,,1,,,1,,,,,1,2,,,,2,,,1,,,,1,,,,1,2,,,1,,,,2,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,2,1,,2,1,,,,1,,1,,1,,2,1,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,1,,1,1,,,,1,,,1,,,1,,1,,,,,,1,,,,1,1,,,,,3,,,,1,,,1,,,,1,,,1,,1,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa strain ESP075.fasta,,,,,,1,,,,,,,,,,,,,1,,,,1,,,4,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,1,,2,,,,,2,,2,,,1,1,1,,,,,,,,2,,,3,,,1,,1,,,,,,1,,,1,,,1,,2,,,,,1,,,,1,1,,1,,,,2,,,1,2,,,,,,,1,1,,,,1,,,,,5,,,,,,2,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,1,1,,1,1,,1,,1,,1,,1,1,,,,,,1,1,,,1,,,1,,,,,1,2,,,,2,,,1,,,,1,,,,1,2,,,1,,,,2,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,,1,1,,,,1,,1,,1,,2,1,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,1,,1,1,,,,1,,,,,,1,,1,,,,,,1,,,,1,1,,,,,3,,,,1,,,1,,,,1,,,1,,1,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa strain ESP076.fasta,,,,,,1,,,,,,,,,,,,,1,,,,1,,,4,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,1,,2,,,,,3,,2,,,1,1,1,,,,,,,,2,,,3,,,1,,1,,,,,,1,,,1,,,1,,2,,,,,1,,,,1,1,,1,,,,2,,,1,2,,,,,,,1,1,,,,1,,,,,5,,,,,,2,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,1,1,,1,1,,1,,1,,1,,1,1,,,,,,1,1,,,1,,,1,,,,,1,2,,,,2,,,1,,,,1,,,,1,2,,,1,,,,2,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,,1,1,,,,1,,1,,1,,2,1,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,1,,1,1,,,,1,,,,,,1,,1,,,,,,1,,,,1,1,,,,,3,,,,1,,,1,,,,1,,,1,,1,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa strain ESP077.fasta,,,,,,1,,,,,,,,,,,,,1,,,,1,,,4,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,1,,2,,,,,2,,2,,,1,1,1,,,,,,,,2,,,3,,,1,,1,,,,,,1,,,1,,,1,,2,,,,,1,,,,1,1,,1,,,,2,,,,2,,,,,,,1,1,,,,1,,,,,5,,,,,,2,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,1,1,,1,1,,,,1,,,,1,,,,,,,1,1,,,1,,,1,,,,,1,2,,,,2,,,,,,,1,,,,1,2,,,1,,,,2,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,2,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,,1,1,,,,1,,1,,1,,2,1,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,1,,1,1,,,,1,,,1,,,1,,1,,,,,,1,,,,1,1,,,,,3,,,,1,,,1,,,,1,,,1,,1,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa strain ESP078.fasta,,,,,,1,,,,,,,,,,,,,1,,,,1,,,4,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,1,,2,,,,,2,,2,,,1,1,1,,,,,,,,2,,,3,,,1,,1,,,,,,1,,,1,,,1,,2,,,,,2,,,,1,1,,1,,,,2,,,1,2,,,,,,,1,1,,,,1,,,,,5,,,,,,2,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,1,1,,1,1,,1,,1,,1,,1,1,,,,,,1,1,,,1,,,1,,,,,1,2,,,,2,,,1,,,,1,,,,1,2,,,1,,,,2,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,,1,1,,,,1,,1,,1,,2,1,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,1,,1,1,,,,1,,,,,,1,,1,,,,,,1,,,,1,1,,,,,3,,,,1,,,1,,,,1,,,1,,1,,,,,1,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa strain ESP079.fasta,,,,,,1,,,,,,,,,,,,,1,,,,1,,,4,,,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,,1,1,,2,,,,,2,,2,,,1,1,1,,,,,,,,2,,,3,,,1,,1,,,,,,1,,,1,,,1,,2,,,,,1,,,,1,1,,1,,,,2,,,1,2,,,,,,,1,1,,,,1,,,,,3,,,,,,2,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,1,1,,1,1,,1,,1,,1,,1,1,,,,,,1,1,,,1,,,1,,,,,1,2,,,,2,,,1,,,,1,,,,1,2,,,1,,,,2,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,2,1,,2,1,,,,1,,1,,1,,2,1,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,1,,,,,1,,,,1,,1,1,,,,1,,,1,,,1,,1,,,,,,1,,,,1,1,,,,,3,,,,1,,,1,,,,1,,,1,,1,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
